player_ID distance
201148 3083
203894 1920
203504 1993
201946 2877
203918 2093
202687 1881
203949 2476
203926 2352
202738 2642
201575 2619
200782 2615
203798 3840
1718 2580
203468 1708
201976 2654
203110 2196
203923 2775
1626143 1525
202388 1887
203123 4293
101141 2800
2200 1774
201566 1300
201177 2826
202083 1523
201936 1854
202331 2114
202066 2041
201945 1857
203903 2506
201956 2156
201166 1687
203994 2574
203946 1564
1889 1586
201942 2021
2754 2518
201160 1896
101111 1646
201588 1599
1626245 1597
2738 2535
202697 2025
200751 2417
203124 1824
201584 2375
1626178 2271
201565 1671
202704 2293
201567 1851
202703 1937
1626179 1222
2772 2432
200811 1886
101133 1730
200752 2154
203991 3100
203893 2189
202328 1771
203210 2817
203919 3276
201564 2313
201155 1884
203499 2045
1626170 1744
1626202 2700
201933 2528
1626168 2032
201609 2316
2757 2566
201147 3464
203944 2609
2549 2289
1626153 1498
2037 2902
201961 2725
201586 1355
201954 2249
101179 2034
203507 1854
201596 1573
2760 1977
203109 3397
1626162 2052
202682 1938
203080 2118
203098 1770
201949 2130
1626173 2817
201962 3389
201939 2314
1626151 4976
203090 2019
203552 2780
201960 2074
201577 1699
2210 2019
201196 1943
203082 1754
203490 1864
203471 1450
203112 2169
203486 1733
203917 1621
203527 2273
202323 2845
201935 2353
204060 2059
201579 2670
202391 2869
203473 2236
203458 1858
2736 2088
203530 1782
203083 2454
203481 2546
202362 2638
203508 2742
203081 1631
203462 2166
2405 2096
101145 1932
1626204 2545
202699 1874
1626145 1278
201973 3287
202702 2255
101112 1589
202710 2077
1626157 1576
203078 1572
2755 1721
203200 1447
2571 2660
202714 1511
203138 1722
1626192 1998
201229 2801
201585 1926
201941 1956
203498 1818
203096 3120
202718 1545
203493 2873
1626164 3068
203115 2504
2743 1484
201587 3782
101162 1892
1626161 2391
203953 1903
203960 1751
202689 2767
201600 1855
201152 1892
101108 2342
203961 3949
201619 2780
202693 1747
202338 1341
203457 1579
2734 1570
202685 2048
202335 1884
202684 1972
203186 2539
203101 2378
203086 1614
201603 1865
203460 1510
2403 1833
203924 1632
1626196 3696
203187 2632
201569 2984
203516 2022
1626144 2737
203934 1581
203897 1678
202324 1878
201593 1302
101127 2183
203939 1521
203526 1806
203118 2011
204025 1775
1626169 2727
2581 3193
2547 2421
203948 1957
2440 3167
1717 1336
2034 2172
2756 1458
201589 2497
202681 1597
202340 3387
1626209 2060
2199 2135
202329 1785
202700 2220
201952 1465
203476 1440
204456 1688
1626159 2626
202337 2822
201144 1923
200755 3401
1626154 3509
201599 2529
200826 1470
2590 1826
201142 1278
203503 2119
201568 2710
2585 1466
201581 2279
203469 4180
203459 1819
203999 2433
200745 1710
1626158 1760
202709 2250
201171 1459
101138 2907
202713 1385
201978 2343
1626174 2021
201578 2348
201158 2500
203092 2463
202390 1782
203909 3772
202696 1738
977 2404
203900 2289
202708 1707
203940 1788
203925 2432
203105 2341
202326 2223
204038 1676
201150 2306
202683 1427
202339 2653
204067 2191
202379 2016
200768 1850
201572 2014
201951 2558
201950 2811
202344 1981
201143 1410
1897 2858
202734 2133
204014 1497
1626147 2204
203477 1568
2207 2301
203488 1663
203915 1969
203099 2069
202357 1760
201937 1483
2749 2222
201149 2642
202334 1671
202349 1542
202688 2388
2544 1884
1626163 2715
203094 1919
201574 2222
203943 1682
2449 1926
200794 1739
203515 1767
2216 1913
2744 3043
202389 1917
1626149 2486
201156 2879
203914 2891
203463 2509
202692 2221
201967 2868
201145 2092
2594 1855
2592 1774
201188 1947
2747 1898
203901 1768
2550 2460
203546 2308
101135 3037
203114 1917
203141 1839
203933 2392
203497 1718
203952 1576
708 1580
203382 2623
203084 2436
201959 2022
1626167 2273
202694 2635
101126 2053
1626181 1509
203932 2003
201583 2761
101123 2938
203524 2035
203521 1825
101107 2956
202325 2692
1626148 3068
203921 2184
202322 1745
201168 1285
203496 1793
201582 3028
101139 2627
2617 3664
203148 2372
201571 1282
1626156 2185
203095 1990
2419 1578
202087 3565
201573 1424
201977 2939
2548 2803
202397 2377
201167 1783
203922 2572
201580 1648
202720 2594
202711 2344
203584 4778
200757 1643
203482 2942
2406 1555
203506 1894
203076 2788
101109 1492
1626242 2498
203089 2497
101114 1482
203487 1949
101161 2217
203079 1367
201162 1750
202730 1900
203512 1552
202341 3090
1891 3156
1626171 1863
204020 2344
204028 2558
200765 1892
204001 1834
202330 2069
203085 2574
203500 1319
202498 1746
203087 3402
2570 2154
1713 2207
101181 1533
202355 2610
2546 1861
202691 2564
2733 2314
2730 2662
203100 1905
101106 2180
203484 2813
1626273 2640
2746 2603
101150 2511
203093 2913
2555 1136
203088 1646
