player_id nb_offensive_rebounds nb_defensive_rebounds dist_farthest_rebound
203932 5 12 10.32
101123 0 6 8.5
203524 5 4 8.91
101107 4 10 10.17
203521 14 59 10.25
202325 1 1 0.9
1626148 1 3 6.43
202322 0 7 8.17
2617 0 7 10.75
101139 1 3 2.64
203148 0 7 6.55
203496 1 10 12.66
201582 7 2 4.07
1626156 0 7 7.63
203095 0 2 3.47
2419 1 2 2.95
202087 0 8 10.02
201977 1 2 5.31
2548 5 11 10.79
201573 0 3 8.02
202397 3 8 9.36
201167 0 8 5.77
203922 0 2 5.58
202720 3 12 12.39
202711 1 13 12.69
200757 1 4 11.59
203584 0 1 11.6
201580 2 1 2.23
203482 2 6 6.64
203506 2 5 9.9
203076 7 25 9.37
101109 1 3 7.29
203089 4 4 4.17
101114 0 1 2.26
101161 5 6 12.41
203487 4 9 10.3
203079 0 1 
201162 1 6 4.04
202730 2 7 4.14
203512 2 3 3.15
1891 0 1 
1626171 5 3 11.78
202341 2 4 11.36
204020 0 8 12.62
204028 4 12 2.9
200765 4 18 11.89
203500 3 2 9.46
204001 7 16 11.94
202330 3 13 7.01
203085 1 2 8.08
203087 3 12 7.78
1713 0 1 6.99
202498 2 4 5.83
2570 0 4 1.82
202355 3 15 4.48
101181 1 7 9.49
2546 3 14 13.19
202691 17 129 13.51
2733 24 49 11.9
203100 0 3 3.04
2730 4 19 12.6
101106 60 192 12.66
1626273 0 5 11.02
203484 2 3 6.06
2746 1 3 1.26
203088 0 2 6.91
101150 2 5 8.05
203093 3 3 8.77
2555 1 1 1.37
